ri_id,r_id,i_id,amount,unit
1,340443,1,1,9 ounce
2,340443,2,1,large
3,340443,3,3,tablespoons
4,340443,4,1,cup
5,340443,5,10,pieces
6,96221,6,6,large
7,96221,7,1⁄2,cup
8,96221,8,1⁄2,cup
9,96221,9,1,tablespoon
10,96221,10,1,tablespoon
11,96221,2,3,eggs
12,96221,11,3,cups
13,96221,12,8,tablespoons
14,96221,13,8,tablespoons
15,96221,14,2,tablespoons
16,206653,15,32,g
17,206653,16,250,ml
18,206653,17,1⁄2,ml
19,283556,18,1,scoop
20,283556,19,,hersheys
21,283556,20,1,scoop
22,283556,21,,marshmallow
23,283556,22,,nuts
24,283556,23,,whipped
25,427792,24,1,large
26,427792,25,8,ounces
27,427792,8,2,tablespoons
28,427792,26,,about
29,427792,27,,about
30,427792,28,,sea
31,32690,29,1,cup
32,32690,30,1,cup
33,32690,31,1,teaspoon
34,32690,32,1⁄2,teaspoon
35,32690,33,3⁄4,cup
36,32690,34,3⁄4,cup
37,32690,35,1⁄2,cup
38,32690,2,1,egg
39,32690,36,1⁄3,cup
40,32690,37,2,cups
41,32690,38,2,cups
42,32690,39,1⁄2,cup
43,372146,40,1,8 count
44,372146,41,4,teaspoons
45,372146,42,4,slices
46,372146,43,4,slices
47,372146,44,,green
48,105281,45,5,tablespoons
49,105281,30,1⁄4,cup
50,105281,17,1⁄4,teaspoon
51,105281,46,1,cup
52,105281,47,4,ounces
53,105281,48,2,tablespoons
54,105281,49,1,tablespoon
55,105281,50,2,10 ounce
56,105281,16,1⁄4,cup
57,105281,51,1⁄4,cup
58,354422,52,1,turkey
59,354422,45,6,tablespoons
60,354422,53,,coarse
61,354422,54,,fresh
62,354422,55,4 -5,cups
63,160751,56,8,ounces
64,160751,45,2,tablespoons
65,160751,57,2,teaspoons
66,160751,58,1⁄2,cup
67,160751,59,1,teaspoon
68,160751,60,6,ounces
69,160751,61,1⁄2,cup
70,51096,62,1⁄2,cup
71,51096,34,1⁄4,cup
72,51096,2,1,egg
73,51096,63,1,cup
74,51096,64,1 1⁄2,cups
75,51096,29,1,cup
76,51096,17,1⁄2,teaspoon
77,51096,32,1 1⁄2,teaspoons
78,51096,65,1 1⁄2,teaspoons
79,51096,14,1,teaspoon
80,51096,66,1⁄4,teaspoon
81,51096,67,1,cup
82,501762,68,1,lb
83,501762,69,2,12 ounce
84,501762,70,1,cup
85,501762,71,1⁄8,cup
86,346165,6,4 -6,tomatoes
87,346165,72,2,green
88,346165,73,1,1
89,346165,74,1,lime
90,346165,75,1,garlic
91,346165,76,1,bunch
92,346165,77,,salt
93,201072,78,3,cups
94,201072,79,3,cups
