r_id,t_id
340443,1
340443,2
340443,3
340443,4
340443,5
340443,6
340443,7
340443,8
340443,9
96221,1
96221,2
96221,3
96221,10
96221,4
96221,11
96221,12
96221,13
96221,14
96221,15
96221,16
96221,17
96221,18
96221,19
206653,20
206653,2
206653,3
206653,10
206653,4
206653,21
206653,11
206653,22
206653,5
206653,23
206653,24
206653,8
206653,25
206653,26
206653,27
206653,15
206653,16
206653,28
206653,29
206653,30
206653,17
206653,18
206653,31
206653,32
206653,33
283556,20
283556,2
283556,3
283556,34
283556,4
283556,35
283556,36
283556,21
283556,7
283556,37
283556,8
283556,38
283556,39
283556,15
283556,40
283556,41
283556,42
283556,43
283556,32
427792,1
427792,2
427792,4
427792,22
427792,15
427792,16
427792,28
427792,29
427792,44
427792,18
32690,1
32690,2
32690,3
32690,4
32690,35
32690,7
32690,8
32690,45
32690,9
32690,46
32690,15
32690,32
32690,47
372146,1
372146,2
372146,3
372146,10
372146,4
372146,35
372146,5
372146,48
372146,49
372146,8
372146,38
372146,15
372146,50
372146,40
372146,51
372146,52
372146,53
372146,42
105281,54
105281,2
105281,3
105281,4
105281,35
105281,55
105281,15
105281,56
105281,17
105281,18
105281,57
354422,2
354422,3
354422,10
354422,4
354422,35
354422,5
354422,58
354422,59
354422,8
354422,60
354422,61
354422,62
354422,15
354422,63
354422,17
354422,18
354422,53
354422,64
354422,65
160751,3
160751,10
160751,34
160751,4
160751,35
160751,7
160751,66
160751,67
160751,68
160751,60
160751,61
160751,38
160751,69
160751,14
160751,70
160751,15
160751,71
160751,72
160751,73
160751,74
160751,75
160751,42
160751,76
51096,77
51096,2
51096,3
51096,4
51096,22
51096,7
51096,78
51096,15
51096,32
51096,65
501762,79
501762,77
501762,54
501762,2
501762,3
501762,10
501762,34
501762,4
501762,35
501762,36
501762,5
501762,80
501762,58
501762,59
501762,37
501762,8
501762,81
501762,82
501762,15
501762,83
501762,84
501762,30
501762,17
501762,72
501762,73
501762,18
501762,53
501762,85
501762,57
501762,42
501762,86
346165,20
346165,2
346165,3
346165,10
346165,4
346165,21
346165,80
346165,13
346165,8
346165,87
346165,88
346165,26
346165,89
346165,15
346165,51
346165,72
346165,73
346165,19
346165,32
201072,79
201072,20
201072,2
201072,3
201072,10
201072,4
201072,90
201072,8
201072,91
201072,27
201072,15
201072,92
201072,93
201072,73
201072,31
201072,33
236836,1
236836,2
236836,3
236836,4
236836,35
236836,11
236836,94
236836,24
236836,7
236836,95
236836,15
236836,16
236836,28
236836,29
236836,30
236836,17
236836,18
236836,96
236836,97
276518,20
276518,2
276518,3
276518,10
276518,4
276518,21
276518,5
276518,98
276518,24
276518,66
276518,8
276518,99
276518,100
276518,101
276518,76
276518,102
276518,32
276518,33
292495,1
292495,2
292495,3
292495,4
292495,103
292495,11
292495,80
292495,8
292495,89
292495,104
292495,15
292495,18
292495,32
156275,1
156275,2
156275,3
156275,10
156275,34
156275,4
156275,35
156275,36
156275,48
156275,12
156275,59
156275,8
156275,105
156275,82
156275,15
156275,56
156275,50
156275,106
156275,17
156275,107
156275,18
156275,53
156275,108
156275,57
156275,109
156275,33
306834,20
306834,2
306834,3
306834,10
306834,4
306834,90
306834,59
306834,8
306834,87
306834,110
306834,15
306834,51
306834,53
306834,33
33190,54
33190,2
33190,3
33190,10
33190,4
33190,12
33190,66
33190,111
33190,112
33190,15
33190,113
33190,114
188327,79
188327,20
188327,2
188327,3
188327,10
188327,4
188327,21
188327,11
188327,22
188327,5
188327,55
188327,115
188327,13
188327,8
188327,25
188327,95
188327,15
188327,16
188327,28
188327,29
188327,30
188327,44
188327,73
188327,18
188327,32
188327,97
119,20
119,2
119,3
119,4
119,35
119,21
119,48
119,8
119,88
119,26
119,15
119,50
119,32
119,33
295534,2
295534,3
295534,10
295534,34
295534,4
295534,58
295534,116
295534,67
295534,117
295534,118
295534,119
295534,31
295534,65
22699,54
22699,2
22699,3
22699,10
22699,34
22699,4
22699,35
22699,36
22699,58
22699,59
22699,37
22699,120
22699,121
22699,8
22699,45
22699,38
22699,105
22699,82
22699,15
22699,40
22699,122
22699,53
22699,42
22699,109
22699,76
22699,123
22699,47
423710,2
423710,3
423710,10
423710,34
423710,4
423710,58
423710,124
423710,115
423710,13
423710,67
423710,70
423710,125
423710,53
423710,126
423710,127
423710,76
423710,65
25996,1
25996,2
25996,3
25996,10
25996,34
25996,4
25996,35
25996,36
25996,58
25996,49
25996,13
25996,128
25996,129
25996,121
25996,60
25996,130
25996,15
25996,53
25996,76
25996,123
412507,1
412507,2
412507,3
412507,10
412507,4
412507,94
412507,58
412507,49
412507,15
412507,16
412507,106
412507,17
412507,107
412507,18
412507,53
412507,131
105840,20
105840,2
105840,3
105840,34
105840,4
105840,36
105840,103
105840,98
105840,37
105840,120
105840,32
142612,54
142612,2
142612,3
142612,10
142612,4
142612,11
142612,22
142612,132
142612,133
142612,7
142612,66
142612,15
142612,16
142612,28
142612,29
142612,18
142612,134
99676,2
99676,10
99676,4
99676,59
99676,82
99676,15
99676,53
99676,65
281901,20
281901,2
281901,3
281901,10
281901,4
281901,35
281901,21
281901,22
281901,5
281901,94
281901,135
281901,24
281901,136
281901,13
281901,8
281901,137
281901,138
281901,15
281901,28
281901,30
281901,17
281901,44
281901,18
281901,19
281901,96
281901,32
281901,33
230350,2
230350,3
230350,34
230350,4
230350,35
230350,103
230350,58
230350,67
230350,60
230350,139
230350,117
230350,84
230350,51
230350,96
230350,57
230350,32
230350,65
286967,2
286967,3
286967,4
286967,35
286967,140
286967,24
286967,8
286967,15
286967,141
286967,96
286967,65
366550,1
366550,2
366550,3
366550,10
366550,4
366550,35
366550,5
366550,24
366550,7
366550,66
366550,8
366550,87
366550,51
366550,101
366550,142
366550,143
366550,96
17857,20
17857,2
17857,3
17857,10
17857,4
17857,132
17857,7
17857,136
17857,144
17857,145
17857,137
17857,15
17857,32
346900,146
346900,54
346900,2
346900,3
346900,10
346900,4
346900,58
346900,59
346900,82
346900,15
346900,53
112246,2
112246,3
112246,4
112246,35
112246,80
112246,8
112246,147
112246,68
112246,148
112246,104
112246,15
112246,109
112246,76
112246,97
112246,65
74347,1
74347,2
74347,3
74347,10
74347,4
74347,35
74347,21
74347,149
74347,58
74347,90
74347,59
74347,13
74347,8
74347,87
74347,60
74347,61
74347,150
74347,82
74347,70
74347,15
74347,16
74347,29
74347,30
74347,17
74347,151
74347,51
74347,152
74347,18
74347,53
74347,153
74347,19
74347,42
74347,154
74347,76
74347,32
74347,47
74347,155
286586,2
286586,3
286586,10
286586,4
286586,156
286586,55
286586,157
286586,13
286586,129
286586,31
286586,158
286586,76
286586,65
313178,79
313178,2
313178,3
313178,10
313178,4
313178,22
313178,23
313178,24
313178,8
313178,159
313178,27
313178,15
313178,92
313178,28
313178,29
313178,44
313178,73
313178,18
313178,31
313178,65
223953,2
223953,3
223953,10
223953,4
223953,103
223953,11
223953,22
223953,160
223953,7
223953,66
223953,25
223953,15
223953,16
223953,28
223953,30
223953,44
223953,18
223953,101
223953,143
223953,32
223953,65
195441,20
195441,2
195441,3
195441,10
195441,34
195441,4
195441,35
195441,36
195441,103
195441,22
195441,55
195441,13
195441,37
195441,128
195441,161
195441,162
195441,8
195441,61
195441,25
195441,26
195441,95
195441,15
195441,83
195441,28
195441,29
195441,163
195441,18
195441,153
195441,42
195441,32
195441,97
216470,2
216470,3
216470,4
216470,35
216470,22
216470,132
216470,7
216470,15
216470,16
216470,18
216470,42
216470,65
272722,1
272722,2
272722,3
272722,10
272722,4
272722,35
272722,11
272722,48
272722,12
272722,111
272722,13
272722,8
272722,60
272722,150
272722,15
272722,17
272722,164
272722,18
272722,114
272722,127
272722,165
272722,42
477504,1
477504,2
477504,3
477504,34
477504,4
477504,35
477504,166
477504,98
477504,24
477504,167
477504,8
477504,61
477504,26
477504,15
477504,16
477504,92
477504,30
477504,40
477504,168
477504,73
477504,18
477504,42
477504,43
181109,20
181109,2
181109,3
181109,10
181109,34
181109,4
181109,35
181109,36
181109,7
181109,66
181109,37
181109,8
181109,169
181109,60
181109,38
181109,14
181109,15
181109,16
181109,18
181109,101
181109,143
181109,170
181109,171
181109,57
181109,42
181109,43
181109,76
181109,33
171838,20
171838,2
171838,3
171838,10
171838,34
171838,4
171838,35
171838,36
171838,7
171838,136
171838,37
171838,128
171838,8
171838,87
171838,60
171838,38
171838,105
171838,39
171838,14
171838,172
171838,15
171838,51
171838,57
171838,42
171838,43
171838,109
171838,76
171838,47
171838,173
20081,54
20081,2
20081,3
20081,10
20081,34
20081,4
20081,35
20081,48
20081,66
20081,115
20081,13
20081,174
20081,175
20081,15
20081,170
20081,176
318318,20
318318,2
318318,3
318318,4
318318,5
318318,7
318318,48
318318,8
318318,15
318318,16
318318,30
318318,18
318318,33
195090,1
195090,2
195090,3
195090,10
195090,4
195090,35
195090,6
195090,7
195090,66
195090,8
195090,87
195090,61
195090,105
195090,81
195090,9
195090,15
195090,16
195090,84
195090,163
195090,18
195090,101
195090,142
195090,109
122898,2
122898,3
122898,10
122898,34
122898,4
122898,90
122898,13
122898,177
122898,178
122898,8
122898,67
122898,15
234113,1
234113,2
234113,3
234113,10
234113,34
234113,4
234113,35
234113,11
234113,22
234113,5
234113,149
234113,90
234113,66
234113,179
234113,8
234113,67
234113,70
234113,180
234113,15
234113,16
234113,181
234113,182
234113,183
234113,18
234113,74
234113,184
234113,42
234113,43
234113,76
234113,33
146594,20
146594,2
146594,3
146594,4
146594,5
146594,185
146594,58
146594,8
146594,26
146594,15
146594,33
74972,77
74972,2
74972,3
74972,10
74972,34
74972,4
74972,58
74972,124
74972,129
74972,67
74972,186
74972,15
74972,53
74972,187
74972,76
74972,65
34438,1
34438,2
34438,3
34438,10
34438,34
34438,4
34438,35
34438,36
34438,21
34438,11
34438,94
34438,149
34438,90
34438,136
34438,66
34438,13
34438,37
34438,188
34438,120
34438,8
34438,60
34438,61
34438,26
34438,70
34438,15
34438,189
34438,190
34438,16
34438,92
34438,17
34438,151
34438,191
34438,73
34438,18
34438,76
34438,32
34438,33
45704,77
45704,2
45704,3
45704,10
45704,34
45704,4
45704,35
45704,156
45704,58
45704,116
45704,129
45704,8
45704,67
45704,186
45704,15
45704,40
45704,31
45704,192
45704,42
45704,76
45704,65
284065,2
284065,3
284065,10
284065,4
284065,35
284065,11
284065,7
284065,60
284065,150
284065,39
284065,193
284065,14
284065,15
284065,16
284065,51
284065,72
284065,73
284065,18
284065,42
284065,47
284065,173
284065,65
135940,54
135940,2
135940,3
135940,10
135940,34
135940,4
135940,58
135940,13
135940,8
135940,67
135940,87
135940,26
135940,194
135940,15
135940,17
135940,18
135940,19
57626,54
57626,2
57626,3
57626,10
57626,4
57626,35
57626,58
57626,59
57626,60
57626,82
57626,15
57626,53
213165,54
213165,2
213165,3
213165,10
213165,34
213165,4
