t_id,tag
1,30-minutes-or-less
2,time-to-make
3,course
4,preparation
5,5-ingredients-or-less
6,drop-cookies
7,desserts
8,easy
9,cookies-and-brownies
10,main-ingredient
11,low-protein
12,salads
13,vegetables
14,chocolate
15,dietary
16,low-sodium
17,low-carb
18,low-in-something
19,tomatoes
20,15-minutes-or-less
21,for-1-or-2
22,healthy
23,granola-and-porridge
24,breakfast
25,low-fat
26,vegetarian
27,grains
28,low-cholesterol
29,low-saturated-fat
30,low-calorie
31,pasta-rice-and-grains
32,number-of-servings
33,3-steps-or-less
34,cuisine
35,occasion
36,north-american
37,american
38,kid-friendly
39,frozen-desserts
40,comfort-food
41,midwestern
42,taste-mood
43,sweet
44,healthy-2
45,finger-food
46,bar-cookies
47,presentation
48,lunch
49,beef
50,sandwiches
51,inexpensive
52,toddler-friendly
53,meat
54,60-minutes-or-less
55,side-dishes
56,copycat
57,novelty
58,main-dish
59,poultry
60,dinner-party
61,holiday-event
62,turkey
63,thanksgiving
64,turkey-breasts
65,4-hours-or-less
66,fruit
67,european
68,refrigerator
69,candy
70,stove-top
71,gifts
72,egg-free
73,free-of-something
74,citrus
75,oranges
76,equipment
77,weeknight
78,cakes
79,lactose
80,appetizers
81,summer
82,chicken
83,spicy
84,seasonal
85,wings
86,nut-free
87,beginner-cook
88,vegan
89,dips
90,condiments-etc
91,kosher
92,gluten-free
93,cooking-mixes
94,very-low-carbs
95,deep-fry
96,brunch
97,technique
98,beverages
99,smoothies
100,food-processor-blender
101,berries
102,small-appliance
103,for-large-groups
104,spreads
105,picnic
106,high-protein
107,high-in-something
108,chicken-breasts
109,to-go
110,marinades-and-rubs
111,seafood
112,shrimp
113,melons
114,shellfish
115,potatoes
116,pasta
117,italian
118,lasagna
119,one-dish-meal
120,southern-united-states
121,barbecue
122,californian
123,grilling
124,pork
125,dutch
126,pork-sausage
127,greens
128,mexican
129,oven
130,broil
131,steaks
132,pies-and-tarts
133,tarts
134,apples
135,omelets-and-frittatas
136,eggs-dairy
137,cheese
138,eggs
139,winter
140,breads
141,yeast
142,blueberries
143,strawberries
144,pies
145,crusts-pastry-dough-2
146,curries
147,no-cook
148,potluck
149,sauces
150,romantic
151,valentines-day
152,savory-sauces
153,onions
154,savory
155,served-hot
156,casseroles
157,rice
158,carrots
159,diabetic
160,gelatin
161,southwestern-united-states
162,tex-mex
163,independence-day
164,scallops
165,lettuces
166,saudi-arabian
167,middle-eastern
168,ramadan
169,microwave
170,tropical-fruit
171,pineapple
172,freezer
173,served-cold
174,asian
175,filipino
176,papaya
177,scandinavian
178,1-day-or-more
179,spanish
180,south-american
181,argentine
182,sweet-sauces
183,venezuelan
184,lemon
185,savory-pies
186,russian
187,pork-chops
